id;title;name;display_name;job_title;image_50x50;image_100x100;initials;url;user_id
60;Dr. Angela Yu;Dr. Angela;Dr. Angela Yu;Developer and Lead Instructor;https://img-c.udemycdn.com/user/50x50/31334738_a13c_3.jpg;https://img-c.udemycdn.com/user/100x100/31334738_a13c_3.jpg;DY;https://www.udemy.com/user/4b4368a3-b5c8-4529-aa65-2056ec31f37e/;1

61;Rahul Shetty;Rahul;Rahul Shetty;Teacher over 700K+ QA Students|Founder of RahulShettyAcademy;https://img-c.udemycdn.com/user/50x50/5997742_a60f_51.jpg;https://img-c.udemycdn.com/user/100x100/5997742_a60f_51.jpg;RS;https://www.udemy.com/user/rahul445/;1

62;Joseph Phillips;Joseph;Joseph Phillips;PMP, PMI-ACP, Project+, ITIL, PSM I, CTT+;https://img-c.udemycdn.com/user/50x50/8912846_1a61.jpg;https://img-c.udemycdn.com/user/100x100/8912846_1a61.jpg;JP;https://www.udemy.com/user/josephphillips2/;1

64;Scott Duffy  • 950.000+ Students;Scott;Scott Duffy  • 950.000+ Students;Bestselling Azure & TOGAF® Trainer, Microsoft Azure MVP;https://img-c.udemycdn.com/user/50x50/58935_f800_5.jpg;https://img-c.udemycdn.com/user/100x100/58935_f800_5.jpg;SD;https://www.udemy.com/user/scottduffy2/;1

65;Software Architect.ca;Software;Software Architect.ca;TOGAF® Certified, Azure Architect, AWS Architect;https://img-c.udemycdn.com/user/50x50/54660548_f7fc_2.jpg;https://img-c.udemycdn.com/user/100x100/54660548_f7fc_2.jpg;SA;https://www.udemy.com/user/scott-duffy-4/;1

69;365 Careers;365;365 Careers;Creating opportunities for Data Science and Finance students;https://img-c.udemycdn.com/user/50x50/8280056_7887_3.jpg;https://img-c.udemycdn.com/user/100x100/8280056_7887_3.jpg;3C;https://www.udemy.com/user/365careers/;1

70;Stephen Grider;Stephen;Stephen Grider;Engineering Architect;https://img-c.udemycdn.com/user/50x50/5487312_0554.jpg;https://img-c.udemycdn.com/user/100x100/5487312_0554.jpg;SG;https://www.udemy.com/user/sgslo/;1

72;Jason Dion • 1 Million+ Enrollments Worldwide;Jason Dion;Jason Dion • 1 Million+ Enrollments Worldwide;CISSP, CEH, Pentest+, CySA+, Sec+, Net+, A+, PRINCE2, ITIL;https://img-c.udemycdn.com/user/50x50/27592028_e3fb_6.jpg;https://img-c.udemycdn.com/user/100x100/27592028_e3fb_6.jpg;J ;https://www.udemy.com/user/jason-dion/;1

73;Dion Training Solutions • ATO for ITIL & PRINCE2;Dion Training Solutions;Dion Training Solutions • ATO for ITIL & PRINCE2;Courses in IT Ops, Cyber Security, and Project Management;https://img-c.udemycdn.com/user/50x50/53797544_9c5d_2.jpg;https://img-c.udemycdn.com/user/100x100/53797544_9c5d_2.jpg;D ;https://www.udemy.com/user/llc-dion-training-solutions/;1

74;Dion Training Solutions • ATO for ITIL & PRINCE2;Dion Training Solutions;Dion Training Solutions • ATO for ITIL & PRINCE2;Courses in IT Ops, Cyber Security, and Project Management;https://img-c.udemycdn.com/user/50x50/155034650_02d5.jpg;https://img-c.udemycdn.com/user/100x100/155034650_02d5.jpg;D ;https://www.udemy.com/user/tamera-dion/;1

76;Jean-Paul Roberts;Jean-Paul;Jean-Paul Roberts;Computer programmer, analyst and teacher;https://img-c.udemycdn.com/user/50x50/11566988_f5b1_2.jpg;https://img-c.udemycdn.com/user/100x100/11566988_f5b1_2.jpg;JR;https://www.udemy.com/user/jeanpaulroberts/;1

79;Colt Steele;Colt;Colt Steele;Developer and Bootcamp Instructor;https://img-c.udemycdn.com/user/50x50/4466306_6fd8_3.jpg;https://img-c.udemycdn.com/user/100x100/4466306_6fd8_3.jpg;CS;https://www.udemy.com/user/coltsteele/;1

82;Maven Analytics;Maven;Maven Analytics;Award-Winning Data Analytics Training;https://img-c.udemycdn.com/user/50x50/75004102_f8b0_2.jpg;https://img-c.udemycdn.com/user/100x100/75004102_f8b0_2.jpg;MA;https://www.udemy.com/user/maven-analytics/;1

83;Chris Dutton;Chris;Chris Dutton;Founder, Maven Analytics;https://img-c.udemycdn.com/user/50x50/12951804_29ef_4.jpg;https://img-c.udemycdn.com/user/100x100/12951804_29ef_4.jpg;CD;https://www.udemy.com/user/chrisdutton3/;1

